Fecha,TCR 1/
31/12/15,7.63237
1/01/16,7.63237
2/01/16,7.63237
3/01/16,7.63237
4/01/16,7.64991
5/01/16,7.65319
6/01/16,7.65874
7/01/16,7.65497
8/01/16,7.65689
9/01/16,7.65689
10/01/16,7.65689
11/01/16,7.65119
12/01/16,7.64769
13/01/16,7.64711
14/01/16,7.63998
15/01/16,7.63183
16/01/16,7.63183
17/01/16,7.63183
18/01/16,7.62696
19/01/16,7.62803
20/01/16,7.62366
21/01/16,7.63355
22/01/16,7.64639
23/01/16,7.64639
24/01/16,7.64639
25/01/16,7.64692
26/01/16,7.65266
27/01/16,7.67507
28/01/16,7.68331
29/01/16,7.67713
30/01/16,7.67713
31/01/16,7.67713
1/02/16,7.66968
2/02/16,7.66188
3/02/16,7.65615
4/02/16,7.64707
5/02/16,7.64658
6/02/16,7.64658
7/02/16,7.64658
8/02/16,7.64849
9/02/16,7.64835
10/02/16,7.65332
11/02/16,7.65427
12/02/16,7.65634
13/02/16,7.65634
14/02/16,7.65634
15/02/16,7.65652
16/02/16,7.65728
17/02/16,7.66035
18/02/16,7.66327
19/02/16,7.66887
20/02/16,7.66887
21/02/16,7.66887
22/02/16,7.67079
23/02/16,7.67372
24/02/16,7.67296
25/02/16,7.67681
26/02/16,7.67658
27/02/16,7.67658
28/02/16,7.67658
29/02/16,7.68272
1/03/16,7.6874
2/03/16,7.68536
3/03/16,7.67735
4/03/16,7.67669
5/03/16,7.67669
6/03/16,7.67669
7/03/16,7.68343
8/03/16,7.69558
9/03/16,7.70047
10/03/16,7.70072
11/03/16,7.70784
12/03/16,7.70784
13/03/16,7.70784
14/03/16,7.72102
15/03/16,7.72912
16/03/16,7.73719
17/03/16,7.73953
18/03/16,7.74378
19/03/16,7.74378
20/03/16,7.74378
21/03/16,7.74411
22/03/16,7.7408
23/03/16,7.74124
24/03/16,7.74124
25/03/16,7.74124
26/03/16,7.74124
27/03/16,7.74124
28/03/16,7.73423
29/03/16,7.73113
30/03/16,7.72233
31/03/16,7.71106
1/04/16,7.71086
2/04/16,7.71086
3/04/16,7.71086
4/04/16,7.71065
5/04/16,7.7092
6/04/16,7.70969
7/04/16,7.71198
8/04/16,7.72085
9/04/16,7.72085
10/04/16,7.72085
11/04/16,7.72824
12/04/16,7.73533
13/04/16,7.73939
14/04/16,7.74527
15/04/16,7.74312
16/04/16,7.74312
17/04/16,7.74312
18/04/16,7.7342
19/04/16,7.73094
20/04/16,7.73884
21/04/16,7.74081
22/04/16,7.74027
23/04/16,7.74027
24/04/16,7.74027
25/04/16,7.74082
26/04/16,7.74028
27/04/16,7.74181
28/04/16,7.7372
29/04/16,7.73394
30/04/16,7.73394
1/05/16,7.73394
2/05/16,7.73394
3/05/16,7.72557
4/05/16,7.71734
5/05/16,7.71198
6/05/16,7.69892
7/05/16,7.69892
8/05/16,7.69892
9/05/16,7.66835
10/05/16,7.65407
11/05/16,7.64115
12/05/16,7.62418
13/05/16,7.63275
14/05/16,7.63275
15/05/16,7.63275
16/05/16,7.63739
17/05/16,7.63837
18/05/16,7.63789
19/05/16,7.63064
20/05/16,7.63454
21/05/16,7.63454
22/05/16,7.63454
23/05/16,7.63686
24/05/16,7.63938
25/05/16,7.63627
26/05/16,7.62943
27/05/16,7.62793
28/05/16,7.62793
29/05/16,7.62793
30/05/16,7.62545
31/05/16,7.62571
1/06/16,7.62543
2/06/16,7.62608
3/06/16,7.63283
4/06/16,7.63283
5/06/16,7.63283
6/06/16,7.64322
7/06/16,7.64491
8/06/16,7.64827
9/06/16,7.65164
10/06/16,7.66404
11/06/16,7.66404
12/06/16,7.66404
13/06/16,7.66959
14/06/16,7.66429
15/06/16,7.65454
16/06/16,7.64469
17/06/16,7.6373
18/06/16,7.6373
19/06/16,7.6373
20/06/16,7.63399
21/06/16,7.63037
22/06/16,7.62889
23/06/16,7.63501
24/06/16,7.64357
25/06/16,7.64357
26/06/16,7.64357
27/06/16,7.64025
